Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-990,849408,STV - endless spinner when trying to open the same synopsis twice,2023-07-10 14:06,Smart TV,,,,,,,Done,1 - Critical,,M94083
Bug,EW-988,849392,Smart TV: Channel page - last asset on the channel page is cut off,2023-07-10 13:42,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-987,849378,STV - tv-guide - timeline is placed on top of the logos sometime,2023-07-10 13:15,Smart TV,,,,,,,Won't fix,3 - Medium,,
Bug,EW-986,849374,Smart TV: tv-guide - user should be able to navigate 7 days forward and 7 days back in the tv-guide,2023-07-10 13:12,Smart TV,,,,,,,Won't fix,2 - High,,M88508
Bug,EW-985,849342,Smart TV: Recordings view on my page - when navigating back the app freezes,2023-07-10 11:36,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-984,849303,STV - typo in the rental message when disabled in configcat,2023-07-10 10:34,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-982,849082,Smart TV: Inside section 'Kanaler' the channels/Streaming packages in the button is cut off,2023-07-07 16:01,Smart TV,,,,,,,Done,3 - Medium,,
Bug,EW-981,849079,Smart TV: Start Over doesn't work for any playback assets,2023-07-07 15:49,Smart TV,,StartOver,,,,,Done,1 - Critical,,M94083
Bug,EW-980,849078,"Smart TV: ""Se videre"" title-row is missing from 'Min Side'",2023-07-07 15:42,Smart TV,,,,,,,Done,3 - Medium,,
Bug,EW-979,849045,Smart TV: Rental Movie - When click on back button - synopsis shows button with price,2023-07-07 14:32,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-978,849026,Smart TV: Content rows with less assets will disappear when opening synopsis from larger rows,2023-07-07 13:22,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-977,848763,Samrt TV: Some sling - vis alle - not show all content,2023-07-06 15:09,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-965,848230,STV - LG - Pointer Mode - not able to scroll on synopsis,2023-07-04 15:06,Smart TV,,,,,,,Done,2 - High,,M101317
Bug,EW-964,848151,"STV - LG - Pointer Mode -  not able to scroll on TV, serier,kanaler",2023-07-04 12:23,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-962,848089,Smart TV (LG): TV Guide take around 50 second to load first time,2023-07-04 10:19,Smart TV,,,,,,,Done,2 - High,,M101317
Bug,EW-961,847742,"Web: YouSee Premiere under ""Kanaler"" doesn't work",2023-07-03 09:00,,,,,,,,Done,4 - Low,,M88508
Bug,EW-958,847285,Smart Tv - New NPVR - Not able to record  ,2023-06-29 14:33,Smart TV,,NPVR,,,,,In Progress,3 - Medium,,M88508
Bug,EW-955,847263,Smart TV: UI - Player buttons needs alignment,2023-06-29 13:40,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-951,847143,Channel shop: Dialog missing when users doesn't have access to Channel shop as part of the users subscription,2023-06-29 09:14,Web,,,,,,,To Do,4 - Low,,
Bug,EW-950,847069,STV - Live TV and archive - channel logo missing- synopsis ,2023-06-28 15:15,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-949,847026,CC: Playback on CC stops/hangs after 3 play attempts,2023-06-28 13:39,Chromecast Receiver,,,,,,,To Do,2 - High,,
